Origin,Name,Job Rank,Ability Type,Specific Ability Type,Size,Type,Memory,Tags,Action,Range,Damage,Text,Rarity,HP,Recoveries,Dodge,Speed,Memory Increase,Stresscap,A-Def,MP,Armor,Save Target,Scope,Size
Aegis,Warding Wall,1,Spell,Spell,,,2,Mana 1,Phase (1) Bolster,"[Range = Scope, Line 1-3]",,"This AOE is a zone and can face any direction. The zone counts as difficult terrain and attacks that enter it, pass through it, or are made from within it receive +1 {Difficulty}. Characters that enter the zone take [2 {Stress}] 1/turn per character.
This zone lasts for the rest of the scene, or until you dismiss it as a free action or use this ability again.",,0,0,0,0,0,0,0,0,0,0,0,0
Aegis,Ablative Armor,1,Spell,Spell,,,2,Focus X,Minor Action,[Range = Scope],-,"One ally within Range gains {ARMOR} equal to the FOCUS spent. They cannot have more than 4 {ARMOR}. Whenever they take damage, they lose -1 {ARMOR} down to their usual maximum.",,0,0,0,0,0,0,0,0,0,0,0,0
Aegis,Barrier,2,Spell,Spell,,,2,Mana 2,Phase (1) Bolster,[Range = Scope],,"Place one of the following protective barriers on a character within Range. It lasts until the start of this phase next round:
- Protect: The target gains resistance to {Physical}, {Astral}, {Lunar}, and {Force}.
- Shell: The target gains resistance to {Stress} and {Discord} caused by other characters.",,0,0,0,0,0,0,0,0,0,0,0,0
Aegis,Dome Barrier,3,Spell,Spell,,,2,"Arcing, Mana 3, Summon",(2) Channel,[Range = Scope],-,"Dome Barrier (Size 4, {HP} 20, Dodge/A-Def 5, Speed 0)
On Release: Create a dome barrier within Range. Other characters can share spaces with this barrier. 1/turn when a character or object fully within the barrier is targeted by an attack from outside the barrier, you may roll a d6: on 4+, the attack instead targets the barrier. This barrier can't perform any actions or reactions even if another ability would allow it to do so.",,0,0,0,0,0,0,0,0,0,0,0,0
Aegis,Offensive Shielding,2,Spell,Ranged Spell Attack,,,1,"Aetheric, Indirect, Mana 2",(3) Volley,[Range = Scope],2 Stress,"On Hit: Choose one of the following:
- Shield Crush: The target is SUNDERED until the end of their next turn.
- Stasis Field: The target must make a MAGIC save. Failure: They are IMMOBILIZED and SLOWED until the end of their next turn. Success: They are SLOWED until the end of their next turn.",,0,0,0,0,0,0,0,0,0,0,0,0
Aegis,Perfect Shield,0,Limit Break,Limit Break,,,,,Special,[Range = Scope],,"At any time during a combat scene, you may  choose an ally within Range . Until the end of this phase in the next round, all damage and {Stress} they receive is reduced to 0.",,,,,,,,,,,,,
Aegis,Abjurer's Ward,0,Trait,Job Trait,,,,,,,,"You gain the Ward spell, which is equipped for free.",,,,,,,,,,,,,
Aegis,Force Shield,3,Support,Support,Light,,,-,-,,,"Whenever you take damage and you aren't STUNNED, you may treat your {ARMOR} as equal to half your current MP. After doing so, spend 1 MP. 
You gain the Shield Block reaction. If you meet the trigger condition of Shield Block while using INTERPOSE, you can automatically use its effect as part of that INTERPOSE reaction.
Shield Block	Action
Reaction (1/round)
Trigger: You would take {Physical}, {Astral}, {Lunar}, or {Force}, or when you would take that damage as part of the INTERPOSE reaction.
Effect: You can take [2 {Stress}] to gain resistance to that damage",,0,0,0,0,0,0,0,0,0,0,0,0
Aegis,Mana Transferral,0,Trait,Job Trait,,,,,,,,You can spend MP as if it were FOCUS.,,,,,,,,,,,,,
Aegis,Proximity Shield,4,Skill,Job Trait,,,2,"Summon, Mana 1",Minor Action,,-,"(Tags: Summon, Size ½, 5 HP, Dodge/A-Def 10) 
Minor: You can place a proximity shield in a space within Scope, including occupied ones. Characters can share spaces with this summon. A character partially in this space gains soft cover. This Summon can't take any actions or reactions.",,0,0,0,0,0,0,0,0,0,0,0,0
Aegis,Ward,0,Spell,Spell,,,,"Innate, Mana 1, Unique",Reaction,,,"Trigger: An ally within SCOPE would take {Physical}, {Astral}, {Lunar}, or {Force}, before {ARMOR} and resistance.
Effect: You can reduce the damage by -1d6. You can reroll the dice as many times as you want, at a cost of 1 MP/reroll.",,,,,,,,,,,,,
Aetherbender,Advanced Aetheric Upgrade,,Talent,Rank 2,,,,,,,,"You add the following effects to your Aetheric Upgrades options:
- Flexible Spell: When you make a spell attack, you can spend 1 MP to change the defense that it targets (DODGE or A-DEF).
- Empowered Spell: When you use a spell that involves a save, you can spend 2 MP to impose +1 {Difficulty} on any saves it causes.
- Repeated Spell: When you make a non-AOE spell attack, you can spend 3 MP to attack two targets. They must be within [{Range} 5] of each other and within your SCOPE.",,,,,,,,,,,,,
Aetherbender,Aether Mixer,,Talent,Rank 3,,,,,,,,"You can apply two different Aetheric Upgrade options at once, spending the MP for each effect.
Additionally, you gain 1 MP when you crit with a spell attack.
",,,,,,,,,,,,,
Aetherbender,Aetheric Upgrade,,Talent,Rank 1,,,,,,,,"You can apply the following effects to your spells. Each spell can only be affected by one at a time:
- Far Spell: When you use a spell, you can spend 1 MP to do so with +5 {Range}. 
- Fast Spell: During your turn, you can use {3} SKIRMISH or {5} FIGHT spells during earlier phases, but no earlier than PHASE {1} BOLSTER. For each phase earlier than its normal phase, you spend 1 MP.
- Quiet Spell: When you use a spell while HIDDEN, you can spend 2 MP to remain HIDDEN after the spell resolves.",,,,,,,,,,,,,
Alchemist,Transmutation Circle,1,Spell,Spell,,,2,Mana 1,(3) Volley,"[Range = Scope], Blast 1",-,"This AOE is a zone. Choose one of the following effects. The zone lasts for the rest of the scene or until you either use this ability again or are SILENCED, STUNNED, or defeated.
- Exchange: Choose {Physical}, {Astral}, or {Lunar}. Free spaces in the zone become dangerous terrain (AGILITY, 5 damage of the chosen type).
- Reduction: Difficult terrain, dangerous terrain, and other non-cover terrain features in the zone no longer have any effects. Combat scene objectives are unaffected.",,0,0,0,0,0,0,0,0,0,0,0,0
Alchemist,Scorpion Gauntlet,2,Weapon,Melee Weapon,Main,Magitech,-,"Mana 1, Unique",(5) Fight,Reach 1,1d3 Discord ,"On Hit (1/attack): If the target was an enemy, one of your Consumable abilities regains 1 charge.",,0,0,0,0,0,0,0,0,0,0,0,0
Alchemist,Volatile Mixtures,2,Support,Support,Light,,,"Consumable 3, Thrown 5",Minor Action,Thrown 5,,"Expend a charge for one of the following effects:
- Explosive Concoction: You auto-hit a character within Range, dealing [3 {Astral}]. You can spend 1 MP to make it [{Blast} 1].
- Sticky Bomb: Make a melee weapon attack against a target within Range. On a hit, they are IMMOBILIZED. After their next turn, they can make a BULK save as a minor action. Success: They clear this condition, dealing [2 {Astral}] to themselves and any other characters within [{Burst} 1].",,0,0,0,0,0,0,0,0,0,0,0,0
Alchemist,Grand Infusions,3,Support,Support,Main,,,Consumable 2,Minor Action,,,"Expend a charge for one of the following effects, which can be used on yourself or an adjacent ally:
- Cleanse: The target clears all conditions.
- Expertise: Roll 2d6. The target's next attack roll, check, or save can't be less than the result. You can spend 1 MP to reroll one of the dice. You can do this multiple times.
- False Life: Until the end of the target's next turn, if they are reduced to 0 {HP} or exceed their Stress Cap, they don't take the Wound or Overstress. Damage and {Stress} continue to accumulate. If, at the end of their next turn they are still at 0 {HP} or less or, over their Stress Cap, they take the Wound or Overstress.",,0,0,0,0,0,0,0,0,0,0,0,0
Alchemist,Infusions,1,Support,Support,Light,,,Consumable 3,Minor Action,,,"Expend a charge for one of the following effects, which can be used on yourself or an adjacent ally:
- Panacea: The target can clear one condition and all {Discord}.
- Vigor: The target gains +4 TEMP {HP} and +1 {Accuracy} on their next ability check or save.",,0,0,0,0,0,0,0,0,0,0,0,0
Alchemist,Life Essence Extract,3,Skill,Skill,,,1,-,Minor Action,,-,Minor: You can spend 1 Recovery to regain all uses of a single consumable.,,0,0,0,0,0,0,0,0,0,0,0,0
Alchemist,Mutagen,3,Support,Support,Main,,,Consumable 3,Reaction,,,"Trigger: You or a character within SCOPE fails an attack roll, save, or check.
Effect: Roll 1d6 and add the result to that character's total, potentially turning a failure into a success.",,0,0,0,0,0,0,0,0,0,0,0,0
Alchemist,Philosopher's Stone,0,Limit Break,Limit Break,,,,,Minor Action,,,"You reveal your philosopher's stone. It has 6 charges. You and your allies can use these charges in place of spending Consumable charges or MP for other abilities, at a 1:1 rate. Abilities with no charges remaining can still be used if they use these charges.",,,,,,,,,,,,,
Alchemist,Potion Belt,0,Trait,Job Trait,,,,,,,,"Your Consumable abilities each gain +1 Consumable. Additionally, during Short Rests, you can regain all charges for Consumable abilities at a cost of 1 RECOVERY per ability.",,,,,,,,,,,,,
Alchemist,Potion Injector,0,Trait,Job Trait,,,,,,,,"Your Consumable abilities can be used up to [{Range} 8], and effects that would usually only apply to yourself (like Healing Potions, p. XX) can be used on willing allies within that {Range}.
Standard Action: During PHASE {3} SKIRMISH or later, you can use a support item that would normally require a minor action.
",,,,,,,,,,,,,
Alchemist,Sanitizing Vapors,0,Trait,Job Trait,,,,,,,,"At the end of your turn, an ally within [{Range} 3] can clear 1 {Stress}, or up to [2 {Stress}] if they are BREAKING.",,,,,,,,,,,,,
Alchemist,Smelling Salts,4,Skill,Skill,,,1,Mana 1,(3) Skirmish,,-,"One character in Scope can immediately stand up if PRONE, and can move up to their speed. This movement doesn't trigger reactions.",,0,0,0,0,0,0,0,0,0,0,0,0
Archmage,Arcane Turret,,Talent,Rank 2,,,,,,,,"You gain the following benefits:
- When you are channeling, you gain +2 {ARMOR}, to a maximum of 4.
- Taking {Stress} doesn't trigger concentration saves.",,,,,,,,,,,,,
Archmage,Focused Caster,,Talent,Rank 3,,,,,,,,"The following option is added to your Reroll Table:
- MP Effort: Spend 1 MP.",,,,,,,,,,,,,
Archmage,Spell Sculptor,,Talent,Rank 1,,,,,,,,"When you use a spell or artifact weapon with an AOE, you can spend 1 MP to allow one character in the AOE to ignore the effect.",,,,,,,,,,,,,
Armored Defender,Adamantine Armor,,Talent,Rank 2,,,,,,,,Your Armor support items become Unbreakable.,,,,,,,,,,,,,
Armored Defender,Battle Hardened,,Talent,Rank 3,,,,,,,,"When you reduce a source of damage to 0, you negate all other effects the attack or ability would have on you, including on-hit effects.",,,,,,,,,,,,,
Armored Defender,Reinforced Plating,,Talent,Rank 1,,,,,,,,"After you {1} DEFEND, you can spend FOCUS, temporarily gaining +1 {ARMOR} per FOCUS spent, to a maximum of 6 {ARMOR}. This lasts until the start of your next turn or until you next take {Physical}, {Astral}, {Lunar}, or {Force}.",,,,,,,,,,,,,
Arsenal,Gunblade,1,Weapon,Melee and Ranged Weapon,Light,Magitech,-,,{3} Volley (Ranged Profile) or {5} Fight (Melee Profile) ,"Melee Profile: [{Reach} 1]
Ranged Profile: [{Range} 5]","Melee Profile: [1d3+1 {Physical}]
Ranged Profile: [1d3 {Lunar}] -","Attacks with the ranged profile are ranged weapon attacks, and attacks with the melee profile are melee weapon attacks.
1/turn when you attack with this weapon, you can spend two MP to also attack with the unused profile.",,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Powerstone,2,Weapon,Melee Weapon,Main,Club,-,Reloading,(5) Fight,"Reach 1, Close Blast 1",1d6+2 Force,,,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Masamune,3,Weapon,Melee Weapon,Heavy,Blade,-,"Reliable 6, Slow",(7) Full Attack,Reach 2,3d6+2 Physical,"Whenever you roll a 1 on a damage dice while attacking with this weapon, take 1 {Stress} and roll that die again. This effect can trigger multiple times on the same roll and is not optional.",,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Armiger,0,Trait,Job Trait,,,,,,,,"You gain the Phantom Armory weapon, which is equipped for free.",,,,,,,,,,,,,
Arsenal,Cycle Weapons,0,Limit Break,Limit Break,,,,,(5) Brawl,,,"You repair all of your destroyed weapons, reload all of your Reloading weapons, and regain all Phantom Armory profiles. You may also make an attack with every weapon you have, including Slow ones.",,,,,,,,,,,,,
Arsenal,Disarming Strike,3,Skill,Skill,,,2,Stressful 1,(5) Fight,,-,You attack with a melee weapon. On Hit: The target takes half damage and must make a BULK save. Failure: They are DISARMED until the end of their next turn.,,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Flex Weapons,0,Trait,Job Trait,,,,,,,,"You can choose to treat your MAIN weapon slots as LIGHT {LINKED} LIGHT slots, and your HEAVY slots as MAIN {LINKED} LIGHT slots.",,,,,,,,,,,,,
